epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.409,1.43873,3.73769,1.63547,0.00565,0.82989,0.09217,0.04957,1.2061,4.12905,1.64732,0.00025553,0.00025553,0.00025553
2,60.8429,1.21184,3.20982,1.50126,0.76439,0.04121,0.12605,0.05874,1.32605,3.8172,1.88208,0.000511831,0.000511831,0.000511831
3,92.0395,1.12156,2.89848,1.44664,0.40469,0.064,0.10481,0.05959,1.61835,3.85038,2.21991,0.000757573,0.000757573,0.000757573
4,121.681,1.26651,2.63507,1.54269,0.37398,0.1778,0.19974,0.11745,1.75321,3.59518,2.3533,0.000992756,0.000992756,0.000992756
5,151.919,1.27606,2.52293,1.52036,0.25841,0.3407,0.29142,0.15893,1.51799,3.24362,2.08103,0.00102301,0.00102301,0.00102301
6,181.291,1.32839,2.5724,1.55505,0.43574,0.37926,0.28997,0.13542,1.64573,4.47232,2.15782,0.00100101,0.00100101,0.00100101
7,210.646,1.24866,2.36212,1.46679,0.30111,0.25601,0.26181,0.13778,1.78158,4.26085,2.23222,0.000979013,0.000979013,0.000979013
8,238.837,1.23205,2.24795,1.49229,0.33015,0.51592,0.39497,0.24293,1.30609,4.42283,1.78689,0.000957015,0.000957015,0.000957015
9,268.784,1.27825,2.11584,1.47564,0.29584,0.64116,0.44081,0.25251,1.48423,3.48878,2.00418,0.000935018,0.000935018,0.000935018
10,299.117,1.25304,2.0902,1.51368,0.40284,0.50699,0.46251,0.24937,1.5488,2.80715,1.98688,0.00091302,0.00091302,0.00091302
11,328.41,1.17455,2.04331,1.40627,0.49624,0.49296,0.44608,0.27131,1.33439,2.81085,1.81682,0.000891022,0.000891022,0.000891022
12,357.979,1.19775,1.99948,1.44734,0.59086,0.43908,0.49003,0.29223,1.25581,3.4862,1.7354,0.000869024,0.000869024,0.000869024
13,387.694,1.17472,1.92957,1.44208,0.5627,0.57872,0.59105,0.36583,1.19834,3.00944,1.69462,0.000847026,0.000847026,0.000847026
14,417.223,1.16773,1.82868,1.40948,0.43708,0.59768,0.47831,0.29802,1.1576,2.59323,1.65849,0.000825029,0.000825029,0.000825029
15,447.216,1.17982,1.94792,1.4344,0.48296,0.51598,0.47078,0.28513,1.43549,2.79416,1.91709,0.000803031,0.000803031,0.000803031
16,477.029,1.15484,1.83555,1.39958,0.54457,0.49856,0.53108,0.32928,1.31723,2.38936,1.78162,0.000781033,0.000781033,0.000781033
17,509.194,1.14461,1.7421,1.3676,0.5649,0.61424,0.6485,0.38876,1.29627,2.32861,1.73355,0.000759035,0.000759035,0.000759035
18,537.595,1.13257,1.7792,1.37101,0.65105,0.41935,0.53823,0.30486,1.46651,2.69135,1.87298,0.000737037,0.000737037,0.000737037
19,567.309,1.02686,1.5418,1.29646,0.51379,0.58567,0.57384,0.34451,1.31636,2.46871,1.74451,0.00071504,0.00071504,0.00071504
20,597.25,1.09406,1.74098,1.36207,0.63631,0.59317,0.63582,0.38648,1.27116,2.29583,1.71631,0.000693042,0.000693042,0.000693042
21,627.512,1.08604,1.77637,1.35915,0.59403,0.55755,0.58221,0.36942,1.17325,2.44248,1.64796,0.000671044,0.000671044,0.000671044
22,657.99,1.07751,1.69908,1.37411,0.65651,0.45349,0.58215,0.36015,1.15734,2.5712,1.62168,0.000649046,0.000649046,0.000649046
23,688.746,1.05648,1.54978,1.32535,0.74418,0.6149,0.72505,0.43962,1.16894,2.19294,1.60408,0.000627048,0.000627048,0.000627048
24,718.252,1.1066,1.65018,1.38185,0.74668,0.67602,0.75673,0.45414,1.20393,2.1097,1.63975,0.000605051,0.000605051,0.000605051
